text,vehicle_type,fake_aadhar
NA13NRU,2,180678029645
MV51VSU,7,394960416975
GX15OGJ,5,263629080618
LM13VCV,5,460474614068
KH05ZIK,2,856355072880
AP05JEO,2,793573767618
FJ14ZHY,5,813184481343
EY61NBG,5,322359824190
BG65USJ,2,473135370945
AK64DMV,3,639194088455
EG65USJ,3,859109870681
EF10DZT,7,132082940573
AF65JKV,3,356143745323
KH06KSU,2,179648223624
GJ06EPD,2,169208011481
LM15ZZC,7,814239710514
EY09VMS,5,485160773423
DA07CLX,7,370536897564
EY09WUS,2,552368457311
BP63LYH,3,840229912629
NG65ZFX,2,970878973910
NL64OGX,5,889698118357
LI61PZS,2,734365609851
LP14LJA,2,312857052343
CE61UYL,3,867540550609
