aadhar_number,fake_bank_account,bank_balance
180678029645,4000473512,7000
394960416975,4965797993,7000
263629080618,9863968777,8000
460474614068,7125204548,9000
856355072880,6802406241,9000
793573767618,9586295557,6000
813184481343,870010257,5000
322359824190,2213921623,9000
473135370945,7958227353,8000
639194088455,9574078414,5000
859109870681,9038455447,8000
132082940573,6280581362,5000
356143745323,6168344484,9000
179648223624,9584471412,6000
169208011481,9828415447,5000
814239710514,5905647363,9000
485160773423,3256922868,8000
370536897564,6442128067,1000
552368457311,1462515231,6000
840229912629,8516623381,9000
970878973910,9423583788,8000
889698118357,3922569801,7000
734365609851,3550709504,4000
312857052343,1606522349,1000
867540550609,6738661076,4000
